Country,2/15/2014,3/15/2014,4/15/2014,5/15/2014,6/15/2014,7/15/2014,8/15/2014,9/15/2014,10/15/2014,11/15/2014,12/15/2014,1/15/2015,2/15/2015,3/15/2015,4/15/2015,5/15/2015,6/15/2015,7/15/2015,8/15/2015,9/15/2015,10/15/2015,11/15/2015,12/15/2015,1/15/2016,2/15/2016,3/15/2016,4/15/2016,5/15/2016,6/15/2016,7/15/2016,8/15/2016,9/15/2016,10/15/2016,11/15/2016,12/15/2016,1/15/2017,2/15/2017,3/15/2017,4/15/2017,5/15/2017,6/15/2017,7/15/2017
U.S. Imports from Algeria of Crude Oil (Thousand Barrels),,,247,796,444,604,,,,,,,,,,,1060,,,,,,,,1064,604,599,,1253,2449,,368,4823,3875,3480,3651,2097,1623,1444,2697,4956,2748
U.S. Imports from Angola of Crude Oil (Thousand Barrels),2181,3293,4033,5108,4772,4364,3788,5504,4393,5533,5198,1664,4290,2494,2639,2915,3027,3356,3167,5467,5598,5725,4761,5154,3463,4951,6516,4995,3837,8892,4248,4303,3777,4837,3160,3239,1267,844,2529,3241,5327,5811
U.S. Imports from Ecuador of Crude Oil (Thousand Barrels),5808,5183,5036,6547,4139,6647,9444,9159,7507,3406,7894,10154,6474,7568,3233,5018,6920,8506,7743,7729,7139,5721,6097,10350,7133,8188,5292,6962,6702,7069,7854,6379,6099,7500,7331,7671,3958,8627,5396,7125,6346,4967
U.S. Imports from Equatorial Guinea of Crude Oil (Thousand Barrels),,,,,,,996,,,,,,,,,,,,,1097,785,,,,108,542,,620,,332,,,216,432,,,,,,647,1634,
U.S. Imports from Gabon of Crude Oil (Thousand Barrels),1248,549,491,620,,657,650,649,988,,,,,951,,,108,554,,350,947,,668,,,,,,,,,439,,,,,,,,,304,
U.S. Imports from Iraq of Crude Oil (Thousand Barrels),8106,9475,9621,10889,15867,15376,16843,10509,8862,12626,8740,7049,6223,3767,4160,8758,6415,4113,3632,6079,11622,8064,13844,7810,7092,11326,10480,17713,13011,11429,14792,13438,15733,12428,18279,19286,11557,16841,23705,19202,17085,23448
U.S. Imports from Kuwait of Crude Oil (Thousand Barrels),9737,11038,10267,10344,10650,11629,8164,7115,9427,4098,6109,8251,6630,8585,5574,6872,9411,4456,3515,6337,4664,4193,5972,6369,8389,3812,5881,5478,4052,10025,4843,8113,4767,6847,7883,3265,7017,6788,3030,5390,4851,6380
U.S. Imports from Libya of Crude Oil (Thousand Barrels),,,,,,,,,,1427,326,610,120,,,,,,,159,,189,,,,,,1815,,,522,124,,801,989,581,616,499,1045,2086,1151,3337
U.S. Imports from Nigeria of Crude Oil (Thousand Barrels),1071,2963,4579,2533,2679,,,953,989,499,3446,598,60,2072,1427,1348,,3290,2156,1707,1148,2168,3882,2844,7454,8324,6525,7458,7020,7379,4962,4345,6413,6273,6810,9778,5959,10235,9160,8699,8532,6319
U.S. Imports from Qatar of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Saudi Arabia of Crude Oil (Thousand Barrels),40598,44167,47364,37942,30504,38153,27705,30120,25591,30421,25190,24428,25513,32450,36137,37415,32287,36776,31121,25831,30480,36953,34680,32674,29738,39204,34172,36270,32645,32593,35407,36266,31705,30005,31439,41651,37476,36351,34612,33883,30453,24634
U.S. Imports from United Arab Emirates of Crude Oil (Thousand Barrels),,,,,1055,941,1933,937,,,,,602,,,,,,,,,,,,,,,464,997,,501,976,,785,428,,,526,,1029,420,900
U.S. Imports from Venezuela of Crude Oil (Thousand Barrels),21205,22454,23416,22181,20975,26400,24932,22687,19430,22310,21093,19055,20594,24888,23074,26361,21011,24116,26326,24769,23197,23968,26046,20146,21043,23973,22237,23298,20193,26373,22173,23327,22435,23918,22250,21831,19004,21719,24354,21953,18492,20306
U.S. Imports from Non-OPEC Countries of Crude Oil (Thousand Barrels),112866,126914,122076,125837,120940,132420,138840,137867,145401,138525,145982,150506,128301,153536,139985,135917,139487,143547,161552,138760,136323,134149,149683,148763,143112,146981,135621,139664,136079,143466,151829,141782,138262,143422,140286,150544,131955,145448,138647,154370,140757,143730
U.S. Imports from Albania of Crude Oil (Thousand Barrels),,,,,,,256,234,,,,240,,,,163,272,306,450,256,,290,,,,,,295,483,487,655,319,257,,,,,,,,,
U.S. Imports from Argentina of Crude Oil (Thousand Barrels),1039,968,1642,1429,650,1558,423,1025,1004,700,,934,695,981,496,974,423,1297,,,5,,839,819,696,925,,,840,,,252,,722,187,,,,,,,
U.S. Imports from Australia of Crude Oil (Thousand Barrels),,,,,,,578,,,,,,525,,,,,326,326,650,620,1087,101,,,,,,,656,657,160,,,,,,,,,648,
U.S. Imports from Azerbaijan of Crude Oil (Thousand Barrels),,1050,1054,,,2088,,,3154,1051,,,,,,,1052,1001,1001,,1767,,,,1050,,1051,,,564,1050,,,,,,,,,1052,,
U.S. Imports from Belarus of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Belize of Crude Oil (Thousand Barrels),,67,,,,,68,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Benin of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Bolivia of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,,,,,,,,,,,,
U.S. Imports from Brazil of Crude Oil (Thousand Barrels),3909,1949,2260,3343,3907,4244,6307,3165,7883,6631,5640,6831,3200,5284,6565,3053,7017,6299,10513,6968,5618,2046,5994,5038,4164,3068,4153,2708,4755,4374,7291,3614,5371,4932,3468,6038,6558,6980,4377,3777,4871,10206
U.S. Imports from Brunei of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Cameroon of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Canada of Crude Oil (Thousand Barrels),72629,83802,82121,85181,82999,87082,91761,93486,93814,88139,103517,100167,89543,101298,96420,90154,90365,92157,105608,98454,91375,95201,105875,105305,102755,101374,90369,92505,88341,91047,101253,97860,99147,105778,105336,109278,98090,108781,100562,110631,98101,100462
U.S. Imports from Chad of Crude Oil (Thousand Barrels),1422,483,1443,1919,1908,2848,1907,2856,3345,1430,2389,2861,2854,955,2375,2386,1902,3332,1431,2858,2394,1900,949,1815,3758,1875,2881,3315,2096,1995,1904,949,1901,947,951,951,902,,,,1330,
U.S. Imports from Chile of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from China of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Colombia of Crude Oil (Thousand Barrels),8058,10004,9087,6885,6086,6101,10106,9744,10065,12306,8452,12466,9040,15627,12884,16285,11276,12947,10521,7689,6191,11120,9939,14046,13689,16073,10025,17304,15542,15414,14919,13915,9804,9438,11432,9691,10359,9827,12042,11722,9387,10283
U.S. Imports from Congo (Brazzaville) of Crude Oil (Thousand Barrels),,,,,640,296,,,,212,315,,257,733,251,409,599,362,450,,,,50,201,,,,,,,946,,,,,,,,,,,
U.S. Imports from Congo (Kinshasa) of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Denmark of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,,,,,,,,,,,
U.S. Imports from Egypt of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,542,,,,,,,,,918,,1396,511,221,263,524,,,,,487,1000,,686
U.S. Imports from Estonia of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Georgia of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Germany of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Ghana of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,,995,800,523,,378
U.S. Imports from Guatemala of Crude Oil (Thousand Barrels),,,494,258,277,,250,,226,,248,,238,273,271,261,273,258,268,271,272,272,259,270,272,260,,542,,257,278,277,,278,277,277,532,,264,255,845,
U.S. Imports from Guinea of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from India of Crude Oil (Thousand Barrels),,,,,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Indonesia of Crude Oil (Thousand Barrels),402,1297,243,148,447,257,771,1005,353,362,1550,671,454,721,602,1982,994,1004,968,1297,1727,1329,1348,1955,1004,1020,1021,1632,1013,1311,1351,1353,652,,1,,,,,,,
U.S. Imports from Italy of Crude Oil (Thousand Barrels),,,,,,,,,,,,249,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Ivory Coast (Cote d'Ivore) of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Kazakhstan of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Kyrgyzstan of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Malaysia of Crude Oil (Thousand Barrels),,,,,,,,,,,,182,,,,,,,,,,,,,725,,,634,,,,,298,,,,,,,,,
U.S. Imports from Mauritania of Crude Oil (Thousand Barrels),100,,,,200,191,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,543,,,
U.S. Imports from Mexico of Crude Oil (Thousand Barrels),22127,24779,20705,23215,21914,22119,22764,24477,22767,26506,23174,23968,19617,24921,19218,18202,23552,21427,20776,17300,21270,18945,21906,19541,14189,17814,21008,17545,18674,19588,17416,15481,17196,18675,15952,19686,14457,17055,18152,20745,20280,18225
U.S. Imports from Netherlands of Crude Oil (Thousand Barrels),256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,
U.S. Imports from Netherlands Antilles of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from New Zealand of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Norway of Crude Oil (Thousand Barrels),1050,1074,1037,,,,,,,,,,591,575,,,,,2049,,,,,,1050,2704,1250,,1050,2046,,2789,2099,,,2049,,,,,2493,571
U.S. Imports from Oman of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,2044,2051,1579,1741,574,1947,,597,417,,,,,,,
U.S. Imports from Papua New Guinea of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Peru of Crude Oil (Thousand Barrels),376,380,399,,721,399,145,234,,,398,355,,,,480,,421,328,,148,,283,468,,360,,,,,,,,198,,,,,,,,
U.S. Imports from Russia of Crude Oil (Thousand Barrels),,,,710,951,2628,964,708,713,,,710,698,,,705,492,1212,5122,710,2277,598,1466,493,250,700,1723,356,1699,1985,2419,2191,1413,,743,,699,705,910,2625,2385,2092
U.S. Imports from Singapore of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from South Africa of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Spain of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Sweden of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Syria of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Thailand of Crude Oil (Thousand Barrels),250,,803,259,240,382,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,
U.S. Imports from Trinidad and Tobago of Crude Oil (Thousand Barrels),,,,361,,,361,,,377,,361,,,376,360,,361,360,,360,353,6,240,120,,365,360,,,360,759,,361,727,,,362,,1000,417,300
U.S. Imports from Tunisia of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Turkey of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from United Kingdom of Crude Oil (Thousand Barrels),,512,,526,,896,1,,516,520,,511,394,411,527,503,508,,503,,261,536,,527,,997,513,,728,325,1596,1048,,540,796,1578,,743,510,1040,,527
U.S. Imports from Vietnam of Crude Oil (Thousand Barrels),,,297,983,,674,342,284,573,291,299,,195,574,,,294,283,336,860,306,472,,,286,289,239,,292,,,,297,,,,,,,,,
U.S. Imports from Virgin Islands of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Yemen of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,
